Ship,Mode,Segment,Country,City,State,Postal,Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,,
Standard,Class,Consumer,United,States,New,Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0,,
Standard,Class,Consumer,United,States,New,Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0,,
Standard,Class,Corporate,United,States,New,York,City,New,York,10024,East,Office,Supplies,Fasteners,6.2566,
Standard,Class,Corporate,United,States,New,York,City,New,York,10024,East,Technology,Phones,1029.95,,
First,Class,Consumer,United,States,Troy,New,York,12180,East,Office,Supplies,Storage,208.56,6,,
First,Class,Consumer,United,States,Troy,New,York,12180,East,Office,Supplies,Paper,32.4,5,,
First,Class,Consumer,United,States,Troy,New,York,12180,East,Furniture,Chairs,319.41,5,0.1,,
First,Class,Consumer,United,States,Troy,New,York,12180,East,Office,Supplies,Paper,14.56,2,,
First,Class,Consumer,United,States,Troy,New,York,12180,East,Technology,Accessories,30,2,0,,
First,Class,Consumer,United,States,Troy,New,York,12180,East,Office,Supplies,Binders,48.48,4,,
First,Class,Consumer,United,States,Troy,New,York,12180,East,Office,Supplies,Art,1.68,1,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90004,West,Technology,Accessories,13.98,2,0,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90004,West,Office,Supplies,Binders,25.824,6,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90004,West,Office,Supplies,Paper,146.73,3,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0,,
Standard,Class,Home,Office,United,States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,,
Standard,Class,Corporate,United,States,Gilbert,Arizona,85234,West,Office,Supplies,Art,1113.024,8,0.2,,
Standard,Class,Corporate,United,States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,,
First,Class,Consumer,United,States,Springfield,Virginia,22153,South,Office,Supplies,Paper,75.88,2,0,,
Standard,Class,Consumer,United,States,New,York,City,New,York,10009,East,Office,Supplies,Binders,1.731,
Second,Class,Consumer,United,States,Jackson,Michigan,49201,Central,Office,Supplies,Paper,19.05,3,0,,
Standard,Class,Consumer,United,States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,,
Standard,Class,Consumer,United,States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,,
Standard,Class,Consumer,United,States,Memphis,Tennessee,38109,South,Office,Supplies,Storage,72.784,1,0.2,,
First,Class,Corporate,United,States,Houston,Texas,77041,Central,Office,Supplies,Binders,1.248,3,0.8,,
First,Class,Corporate,United,States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,,
First,Class,Corporate,United,States,Houston,Texas,77041,Central,Office,Supplies,Storage,27.24,3,0.2,,
Second,Class,Consumer,United,States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,,
First,Class,Corporate,United,States,Decatur,Alabama,35601,South,Office,Supplies,Appliances,208.16,1,0,,
First,Class,Corporate,United,States,Decatur,Alabama,35601,South,Office,Supplies,Binders,16.74,3,0,,
Standard,Class,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Art,14.9,5,,
Standard,Class,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Storage,21.39,1,,
Standard,Class,Corporate,United,States,Durham,North,Carolina,27707,South,Office,Supplies,Envelopes,200.984,7,,
First,Class,Home,Office,United,States,Chicago,Illinois,60623,Central,Office,Supplies,Storage,230.376,3,,
Second,Class,Consumer,United,States,Columbia,South,Carolina,29203,South,Furniture,Chairs,301.96,2,0,,
Standard,Class,Consumer,United,States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0,6.7966,,
Standard,Class,Consumer,United,States,Rochester,Minnesota,55901,Central,Office,Supplies,Labels,6.16,2,0,,
Second,Class,Home,Office,United,States,Houston,Texas,77095,Central,Office,Supplies,Storage,158.368,7,,
Standard,Class,Corporate,United,States,Los,Angeles,California,90036,West,Office,Supplies,Art,20.1,3,,
Standard,Class,Corporate,United,States,Los,Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,,
Standard,Class,Corporate,United,States,Los,Angeles,California,90036,West,Office,Supplies,Paper,6.48,1,,
Second,Class,Consumer,United,States,Minneapolis,Minnesota,55407,Central,Office,Supplies,Paper,12.96,2,0,,
Second,Class,Consumer,United,States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0,16.5354,,
Second,Class,Consumer,United,States,Minneapolis,Minnesota,55407,Central,Office,Supplies,Binders,32.96,2,0,,
Standard,Class,Home,Office,United,States,Portland,Oregon,97206,West,Office,Supplies,Binders,5.682,1,,
Second,Class,Home,Office,United,States,New,York,City,New,York,10009,East,Furniture,Furnishings,40.5426,
First,Class,Consumer,United,States,San,Francisco,California,94122,West,Office,Supplies,Binders,51.312,3,,
Standard,Class,Corporate,United,States,Saint,Paul,Minnesota,55106,Central,Office,Supplies,Appliances,77.88,6,,
Standard,Class,Home,Office,United,States,Chicago,Illinois,60610,Central,Office,Supplies,Paper,64.624,7,,
Standard,Class,Home,Office,United,States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,,
Standard,Class,Home,Office,United,States,Chicago,Illinois,60610,Central,Office,Supplies,Binders,1.788,3,,
Second,Class,Consumer,United,States,Rochester,Minnesota,55901,Central,Office,Supplies,Paper,23.92,4,0,,
Standard,Class,Consumer,United,States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,,
Standard,Class,Consumer,United,States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,,
Standard,Class,Consumer,United,States,Aurora,Colorado,80013,West,Office,Supplies,Binders,36.882,3,0.7,,
Standard,Class,Consumer,United,States,Charlotte,North,Carolina,28205,South,Technology,Accessories,74.112,8,0.2,,
Standard,Class,Consumer,United,States,Charlotte,North,Carolina,28205,South,Technology,Phones,27.992,1,0.2,,
Standard,Class,Consumer,United,States,Charlotte,North,Carolina,28205,South,Office,Supplies,Art,3.304,1,,
Standard,Class,Home,Office,United,States,Orland,Park,Illinois,60462,Central,Technology,Accessories,339.96,5,,
Standard,Class,Corporate,United,States,New,York,City,New,York,10035,East,Furniture,Furnishings,41.96,,
Standard,Class,Consumer,United,States,Urbandale,Iowa,50322,Central,Office,Supplies,Art,75.96,2,0,,
Standard,Class,Consumer,United,States,Urbandale,Iowa,50322,Central,Office,Supplies,Binders,27.24,6,0,,
Second,Class,Consumer,United,States,Columbus,Ohio,43229,East,Office,Supplies,Fasteners,40.096,14,0.2,,
Second,Class,Consumer,United,States,Columbus,Ohio,43229,East,Office,Supplies,Envelopes,4.72,2,0.2,,
Second,Class,Consumer,United,States,Columbus,Ohio,43229,East,Office,Supplies,Paper,23.976,3,0.2,,
Second,Class,Consumer,United,States,Columbus,Ohio,43229,East,Office,Supplies,Envelopes,130.464,6,0.2,,
Standard,Class,Consumer,United,States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0,165.3813,,
Standard,Class,Corporate,United,States,Bristol,Tennessee,37620,South,Office,Supplies,Binders,157.794,1,0.7,,
First,Class,Consumer,United,States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0,18.3456,,
First,Class,Consumer,United,States,Wilmington,Delaware,19805,East,Office,Supplies,Binders,30.84,4,0,,
First,Class,Consumer,United,States,Wilmington,Delaware,19805,East,Office,Supplies,Storage,226.56,6,0,,
First,Class,Consumer,United,States,Wilmington,Delaware,19805,East,Office,Supplies,Envelopes,115.02,9,0,,
First,Class,Consumer,United,States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0,19.7316,,
Second,Class,Home,Office,United,States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,,
Standard,Class,Consumer,United,States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,,
Standard,Class,Consumer,United,States,Phoenix,Arizona,85023,West,Office,Supplies,Binders,2.388,2,0.7,,
Standard,Class,Consumer,United,States,Phoenix,Arizona,85023,West,Office,Supplies,Storage,243.992,7,0.2,,
Second,Class,Home,Office,United,States,Los,Angeles,California,90004,West,Furniture,Chairs,81.424,2,,
Second,Class,Home,Office,United,States,Los,Angeles,California,90004,West,Furniture,Furnishings,238.56,3,,
First,Class,Corporate,United,States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,,
First,Class,Corporate,United,States,Columbus,Ohio,43229,East,Office,Supplies,Paper,78.304,2,0.2,,
First,Class,Corporate,United,States,Columbus,Ohio,43229,East,Office,Supplies,Fasteners,21.456,9,0.2,,
Standard,Class,Consumer,United,States,Roseville,California,95661,West,Office,Supplies,Paper,20.04,3,0,,
Standard,Class,Consumer,United,States,Roseville,California,95661,West,Office,Supplies,Paper,35.44,1,0,,
Standard,Class,Consumer,United,States,Roseville,California,95661,West,Office,Supplies,Art,11.52,4,0,,
Standard,Class,Consumer,United,States,Roseville,California,95661,West,Office,Supplies,Fasteners,4.02,2,0,,
Standard,Class,Consumer,United,States,Roseville,California,95661,West,Office,Supplies,Binders,76.176,3,0.2,,
Standard,Class,Consumer,United,States,Roseville,California,95661,West,Office,Supplies,Supplies,65.88,6,0,,
Standard,Class,Consumer,United,States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0,20.6976,,
Second,Class,Corporate,United,States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,,
Standard,Class,Corporate,United,States,San,Francisco,California,94122,West,Office,Supplies,Art,8.82,3,,
Standard,Class,Corporate,United,States,San,Francisco,California,94122,West,Office,Supplies,Envelopes,10.86,3,,
Standard,Class,Corporate,United,States,San,Francisco,California,94122,West,Office,Supplies,Paper,143.7,3,,
Standard,Class,Consumer,United,States,Independence,Missouri,64055,Central,Office,Supplies,Appliances,839.43,3,0,,
Standard,Class,Consumer,United,States,Pasadena,California,91104,West,Office,Supplies,Storage,671.93,7,0,,
Standard,Class,Home,Office,United,States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,,
Standard,Class,Corporate,United,States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0,103.8015,,
Standard,Class,Corporate,United,States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0,5.9988,,
Standard,Class,Corporate,United,States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0,585.552,,
Standard,Class,Corporate,United,States,Franklin,Wisconsin,53132,Central,Office,Supplies,Binders,171.55,5,0,,
First,Class,Home,Office,United,States,Scottsdale,Arizona,85254,West,Office,Supplies,Appliances,157.92,5,,
First,Class,Home,Office,United,States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,,
First,Class,Corporate,United,States,San,Jose,California,95123,West,Office,Supplies,Paper,58.38,7,,
First,Class,Corporate,United,States,San,Jose,California,95123,West,Office,Supplies,Paper,105.52,4,,
First,Class,Corporate,United,States,San,Jose,California,95123,West,Office,Supplies,Storage,80.88,6,,
Standard,Class,Home,Office,United,States,Seattle,Washington,98105,West,Office,Supplies,Art,6.63,3,,
Second,Class,Consumer,United,States,Seattle,Washington,98115,West,Furniture,Chairs,457.568,2,0.2,51.4764,,
Standard,Class,Consumer,United,States,Edmond,Oklahoma,73034,Central,Office,Supplies,Labels,14.62,2,0,,
Standard,Class,Consumer,United,States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0,236.2325,,
First,Class,Consumer,United,States,Los,Angeles,California,90045,West,Office,Supplies,Paper,5.98,1,,
Second,Class,Consumer,United,States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2,0.2,1.3596,,
Standard,Class,Consumer,United,States,Carlsbad,New,Mexico,88220,West,Office,Supplies,Envelopes,28.4,5,,
Standard,Class,Consumer,United,States,Seattle,Washington,98115,West,Office,Supplies,Binders,27.68,2,0.2,,
Standard,Class,Consumer,United,States,San,Antonio,Texas,78207,Central,Office,Supplies,Art,9.936,3,,
Standard,Class,Consumer,United,States,San,Antonio,Texas,78207,Central,Technology,Machines,8159.952,8,0.4,,
Standard,Class,Consumer,United,States,San,Antonio,Texas,78207,Central,Office,Supplies,Storage,275.928,3,,
Standard,Class,Consumer,United,States,San,Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,,
Standard,Class,Consumer,United,States,San,Antonio,Texas,78207,Central,Office,Supplies,Art,32.064,6,,
Standard,Class,Consumer,United,States,San,Antonio,Texas,78207,Central,Office,Supplies,Appliances,177.98,5,,
Standard,Class,Consumer,United,States,San,Antonio,Texas,78207,Central,Technology,Phones,143.976,3,0.2,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90004,West,Office,Supplies,Paper,20.94,3,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90004,West,Office,Supplies,Paper,110.96,2,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90004,West,Furniture,Chairs,340.144,7,0.2,,
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Office,Supplies,Appliances,52.448,2,0.8,,
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Office,Supplies,Labels,20.16,4,0.2,,
Second,Class,Consumer,United,States,Houston,Texas,77036,Central,Office,Supplies,Appliances,97.264,4,0.8,,
Second,Class,Consumer,United,States,Newark,Ohio,43055,East,Furniture,Chairs,396.802,7,0.3,-11.3372,,
Second,Class,Consumer,United,States,Newark,Ohio,43055,East,Office,Supplies,Supplies,15.88,5,0.2,,
Standard,Class,Home,Office,United,States,New,York,City,New,York,10009,East,Office,Supplies,0,1.4104
Second,Class,Corporate,United,States,Decatur,Illinois,62521,Central,Office,Supplies,Storage,24.816,2,0.2,,
Second,Class,Corporate,United,States,Decatur,Illinois,62521,Central,Technology,Accessories,408.744,7,0.2,76.6395,,
Second,Class,Home,Office,United,States,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,0,,
Second,Class,Home,Office,United,States,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5,0,,
Second,Class,Home,Office,United,States,Monroe,Louisiana,71203,South,Technology,Accessories,29,2,0,,
Standard,Class,Consumer,United,States,Fairfield,Connecticut,6824,East,Office,Supplies,Binders,7.16,2,0,,
Standard,Class,Home,Office,United,States,Los,Angeles,California,90032,West,Technology,Accessories,176.8,8,,
Standard,Class,Corporate,United,States,Grand,Prairie,Texas,75051,Central,Office,Supplies,Storage,37.224,3,,
Standard,Class,Corporate,United,States,Grand,Prairie,Texas,75051,Central,Office,Supplies,Paper,20.016,3,,
First,Class,Home,Office,United,States,New,York,City,New,York,10035,East,Furniture,Bookcases,112.392,
First,Class,Home,Office,United,States,New,York,City,New,York,10035,East,Technology,Phones,20.0928,
First,Class,Home,Office,United,States,New,York,City,New,York,10035,East,Office,Supplies,0,24.8832
First,Class,Home,Office,United,States,New,York,City,New,York,10035,East,Furniture,Bookcases,46.9764,
First,Class,Home,Office,United,States,New,York,City,New,York,10035,East,Office,Supplies,0,6.567
Standard,Class,Corporate,United,States,Redlands,California,92374,West,Office,Supplies,Envelopes,14.28,7,0,,
Standard,Class,Consumer,United,States,Hamilton,Ohio,45011,East,Office,Supplies,Art,7.408,2,0.2,,
Standard,Class,Consumer,United,States,Hamilton,Ohio,45011,East,Office,Supplies,Art,6.048,3,0.2,,
Standard,Class,Home,Office,United,States,Westfield,New,Jersey,7090,East,Office,Supplies,Storage,46.26,,
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19120,East,Office,Supplies,Binders,2.946,2,0.7,,
Standard,Class,Corporate,United,States,Philadelphia,Pennsylvania,19120,East,Office,Supplies,Paper,16.056,3,0.2,,
Standard,Class,Consumer,United,States,Akron,Ohio,44312,East,Office,Supplies,Paper,21.744,3,0.2,,
First,Class,Consumer,United,States,Denver,Colorado,80219,West,Furniture,Tables,218.75,2,0.5,-161.875,,
First,Class,Consumer,United,States,Denver,Colorado,80219,West,Office,Supplies,Appliances,2.6,1,0.2,,
Second,Class,Consumer,United,States,Dallas,Texas,75220,Central,Office,Supplies,Appliances,66.284,2,0.8,,
Standard,Class,Corporate,United,States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.168,7,0.2,9.6712,,
Standard,Class,Consumer,United,States,Whittier,California,90604,West,Technology,Phones,444.768,4,0.2,44.4768,,
Standard,Class,Consumer,United,States,Saginaw,Michigan,48601,Central,Office,Supplies,Storage,83.92,4,0,,
Standard,Class,Consumer,United,States,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2,0,35.6346,,
Standard,Class,Consumer,United,States,Saginaw,Michigan,48601,Central,Office,Supplies,Binders,15.92,4,0,,
Standard,Class,Consumer,United,States,Saginaw,Michigan,48601,Central,Office,Supplies,Fasteners,52.29,9,0,,
Standard,Class,Consumer,United,States,Saginaw,Michigan,48601,Central,Office,Supplies,Storage,91.99,1,0,,
Second,Class,Corporate,United,States,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2,0.2,6.5,,
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Office,Supplies,Labels,23.68,2,0.2,,
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,0.5,-244.323,,
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Technology,Phones,62.982,3,0.4,-14.6958,,
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Technology,Machines,1188,9,0.7,-950.4,,
Standard,Class,Corporate,United,States,Medina,Ohio,44256,East,Technology,Accessories,89.584,2,0.2,4.4792,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90032,West,Office,Supplies,Storage,93.06,6,,
Standard,Class,Consumer,United,States,Los,Angeles,California,90032,West,Technology,Phones,302.376,3,0.2,,
First,Class,Consumer,United,States,Dublin,Ohio,43017,East,Office,Supplies,Fasteners,5.584,2,0.2,,
First,Class,Consumer,United,States,Dublin,Ohio,43017,East,Office,Supplies,Paper,22.704,6,0.2,,
First,Class,Consumer,United,States,Dublin,Ohio,43017,East,Office,Supplies,Binders,19.776,4,0.7,,
First,Class,Consumer,United,States,Dublin,Ohio,43017,East,Furniture,Furnishings,72.704,4,0.2,19.0848,,
First,Class,Consumer,United,States,Dublin,Ohio,43017,East,Technology,Machines,479.988,4,0.7,-383.9904,,
First,Class,Consumer,United,States,Dublin,Ohio,43017,East,Office,Supplies,Art,27.168,2,0.2,,
Standard,Class,Corporate,United,States,Detroit,Michigan,48227,Central,Office,Supplies,Art,2.2,1,0,,
Standard,Class,Corporate,United,States,Detroit,Michigan,48227,Central,Furniture,Tables,622.45,5,0,136.939,,
Standard,Class,Corporate,United,States,Detroit,Michigan,48227,Central,Office,Supplies,Storage,21.98,1,0,,
Standard,Class,Consumer,United,States,Columbia,Tennessee,38401,South,Furniture,Chairs,161.568,2,0.2,-28.2744,,
Standard,Class,Consumer,United,States,Columbia,Tennessee,38401,South,Furniture,Chairs,389.696,8,0.2,43.8408,,
Standard,Class,Corporate,United,States,Charlotte,North,Carolina,28205,South,Office,Supplies,Binders,18.648,7,,
Standard,Class,Home,Office,United,States,Tampa,Florida,33614,South,Furniture,Tables,233.86,2,0.45,,
Standard,Class,Home,Office,United,States,Tampa,Florida,33614,South,Furniture,Tables,620.6145,3,0.45,,
Standard,Class,Home,Office,United,States,Tampa,Florida,33614,South,Office,Supplies,Binders,5.328,2,,
Standard,Class,Home,Office,United,States,Tampa,Florida,33614,South,Furniture,Furnishings,258.072,3,0.2,,
Standard,Class,Home,Office,United,States,Tampa,Florida,33614,South,Technology,Accessories,617.976,3,0.2,,
Standard,Class,Corporate,United,States,Santa,Clara,California,95051,West,Office,Supplies,Paper,10.56,2,,
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Office,Supplies,Paper,25.92,5,0.2,,
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5,0.6,-356.728,,
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,11.688,3,0.6,-4.6752,,
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Technology,Phones,31.984,2,0.2,11.1944,,
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Tables,177.225,5,0.5,-120.513,,
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Furniture,Furnishings,4.044,3,0.6,-2.8308,,
Second,Class,Consumer,United,States,Chicago,Illinois,60610,Central,Office,Supplies,Art,7.408,2,0.2,,
Second,Class,Home,Office,United,States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,2001.86,7,0,,
Second,Class,Home,Office,United,States,Lakeville,Minnesota,55044,Central,Office,Supplies,Storage,166.72,2,,
Second,Class,Home,Office,United,States,Lakeville,Minnesota,55044,Central,Office,Supplies,Paper,47.88,6,,
Second,Class,Home,Office,United,States,Lakeville,Minnesota,55044,Central,Office,Supplies,Appliances,1503.25,5,,
Second,Class,Home,Office,United,States,Lakeville,Minnesota,55044,Central,Office,Supplies,Paper,25.92,4,,
Second,Class,Consumer,United,States,San,Francisco,California,94109,West,Furniture,Chairs,321.568,2,0.2,,
Standard,Class,Consumer,United,States,San,Diego,California,92037,West,Office,Supplies,Paper,7.61,1,,
Standard,Class,Consumer,United,States,San,Diego,California,92037,West,Technology,Accessories,3347.37,13,0,,
First,Class,Consumer,United,States,New,York,City,New,York,10024,East,Office,Supplies,Storage,22.5624,
First,Class,Consumer,United,States,New,York,City,New,York,10024,East,Office,Supplies,Envelopes,162.864,
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Furniture,Furnishings,12.132,9,0.6,-8.4924,,
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Office,Supplies,Storage,82.368,2,0.2,,
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Office,Supplies,Storage,53.92,5,0.2,,
Standard,Class,Corporate,United,States,Chicago,Illinois,60623,Central,Technology,Phones,647.904,6,0.2,56.6916,,
Second,Class,Consumer,United,States,New,York,City,New,York,10009,East,Technology,Accessories,20.37,,
